SampleNumber,SpeciesNumber,Group
1,3607.03,Chicken
2,4397.130101,Chicken
3,4779.34851,Chicken
4,5009.610891,Chicken
5,5164.973082,Chicken
6,5277.618516,Chicken
7,5363.513106,Chicken
8,5431.503257,Chicken
9,5486.893269,Chicken
10,5533.059964,Chicken
11,5572.257186,Chicken
12,5606.048182,Chicken
13,5635.552427,Chicken
14,5661.59361,Chicken
15,5684.792063,Chicken
16,5705.624519,Chicken
17,5724.463911,Chicken
18,5741.606568,Chicken
19,5757.291238,Chicken
20,5771.712662,Chicken
21,5785.031442,Chicken
22,5797.381339,Chicken
23,5808.874753,Chicken
24,5819.606891,Chicken
25,5829.658985,Chicken
26,5839.100802,Chicken
27,5847.992629,Chicken
28,5856.386844,Chicken
29,5864.329194,Chicken
30,5871.859819,Chicken
31,5879.014097,Chicken
32,5885.823337,Chicken
33,5892.315354,Chicken
34,5898.514948,Chicken
35,5904.444307,Chicken
36,5910.123344,Chicken
37,5915.569987,Chicken
38,5920.800423,Chicken
39,5925.829306,Chicken
40,5930.669938,Chicken
41,5935.334421,Chicken
42,5939.833796,Chicken
43,5944.178154,Chicken
44,5948.376738,Chicken
45,5952.438035,Chicken
46,5956.36985,Chicken
47,5960.179375,Chicken
48,5963.873248,Chicken
49,5967.457609,Chicken
50,5970.938142,Chicken
51,5974.320124,Chicken
52,5977.608454,Chicken
53,5980.807693,Chicken
54,5983.922087,Chicken
55,5986.955603,Chicken
56,5989.911944,Chicken
57,5992.794573,Chicken
58,5995.606737,Chicken
59,5998.351478,Chicken
60,6001.031656,Chicken
61,6003.649955,Chicken
62,6006.208904,Chicken
63,6008.710884,Chicken
64,6011.158143,Chicken
65,6013.552802,Chicken
66,6015.896866,Chicken
67,6018.192232,Chicken
68,6020.440698,Chicken
69,6022.643967,Chicken
70,6024.803659,Chicken
71,6026.921308,Chicken
72,6028.998378,Chicken
73,6031.03626,Chicken
74,6033.03628,Chicken
75,6034.999702,Chicken
76,6036.927736,Chicken
77,6038.821534,Chicken
78,6040.6822,Chicken
79,6042.510793,Chicken
80,6044.308325,Chicken
81,6046.075768,Chicken
82,6047.814055,Chicken
83,6049.524081,Chicken
84,6051.206711,Chicken
85,6052.862773,Chicken
86,6054.493066,Chicken
87,6056.098363,Chicken
88,6057.679406,Chicken
89,6059.236915,Chicken
90,6060.771583,Chicken
91,6062.284083,Chicken
92,6063.775064,Chicken
93,6065.245156,Chicken
94,6066.69497,Chicken
95,6068.125098,Chicken
96,6069.536114,Chicken
97,6070.928578,Chicken
98,6072.30303,Chicken
99,6073.66,Chicken
100,6075,Chicken
1,4643.12,Pig
2,5915.344646,Pig
3,6533.237866,Pig
4,6912.935156,Pig
5,7175.469531,Pig
6,7369.847703,Pig
7,7520.343025,Pig
8,7640.641024,Pig
9,7739.162682,Pig
10,7821.420721,Pig
11,7891.193956,Pig
12,7951.166799,Pig
13,8003.301768,Pig
14,8049.068149,Pig
15,8089.588326,Pig
16,8125.734695,Pig
17,8158.19569,Pig
18,8187.521892,Pig
19,8214.158912,Pig
20,8238.471279,Pig
21,8260.760093,Pig
22,8281.276252,Pig
23,8300.230508,Pig
24,8317.8012,Pig
25,8334.140264,Pig
26,8349.377954,Pig
27,8363.626592,Pig
28,8376.983557,Pig
29,8389.533701,Pig
30,8401.35131,Pig
31,8412.501708,Pig
32,8423.042571,Pig
33,8433.025025,Pig
34,8442.494556,Pig
35,8451.491768,Pig
36,8460.053027,Pig
37,8468.211002,Pig
38,8475.995129,Pig
39,8483.432,Pig
40,8490.545703,Pig
41,8497.358108,Pig
42,8503.889125,Pig
43,8510.156913,Pig
44,8516.178072,Pig
45,8521.96781,Pig
46,8527.540081,Pig
47,8532.907719,Pig
48,8538.082544,Pig
49,8543.075462,Pig
50,8547.896555,Pig
51,8552.555152,Pig
52,8557.059905,Pig
53,8561.418842,Pig
54,8565.639432,Pig
55,8569.728625,Pig
56,8573.6929,Pig
57,8577.538306,Pig
58,8581.270494,Pig
59,8584.894752,Pig
60,8588.416031,Pig
61,8591.838977,Pig
62,8595.167947,Pig
63,8598.407038,Pig
64,8601.560101,Pig
65,8604.630764,Pig
66,8607.622444,Pig
67,8610.538363,Pig
68,8613.381565,Pig
69,8616.154923,Pig
70,8618.861155,Pig
71,8621.502832,Pig
72,8624.08239,Pig
73,8626.602134,Pig
74,8629.064253,Pig
75,8631.470823,Pig
76,8633.823815,Pig
77,8636.125101,Pig
78,8638.376461,Pig
79,8640.57959,Pig
80,8642.736097,Pig
81,8644.847518,Pig
82,8646.915314,Pig
83,8648.94088,Pig
84,8650.925545,Pig
85,8652.870576,Pig
86,8654.777184,Pig
87,8656.646526,Pig
88,8658.479706,Pig
89,8660.277781,Pig
90,8662.041759,Pig
91,8663.772609,Pig
92,8665.471255,Pig
93,8667.138582,Pig
94,8668.775439,Pig
95,8670.382639,Pig
96,8671.960962,Pig
97,8673.511156,Pig
98,8675.033939,Pig
99,8676.53,Pig
100,8678,Pig
1,10760.29,Ruminant
2,15270.51212,Ruminant
3,17954.83492,Ruminant
4,19791.32091,Ruminant
5,21149.26223,Ruminant
6,22205.74251,Ruminant
7,23057.88359,Ruminant
8,23763.96188,Ruminant
9,24361.32702,Ruminant
10,24875.16631,Ruminant
11,25323.16883,Ruminant
12,25718.17576,Ruminant
13,26069.7684,Ruminant
14,26385.26265,Ruminant
15,26670.35554,Ruminant
16,26929.55921,Ruminant
17,27166.50044,Ruminant
18,27384.13234,Ruminant
19,27584.8873,Ruminant
20,27770.78945,Ruminant
21,27943.53883,Ruminant
22,28104.57522,Ruminant
23,28255.12732,Ruminant
24,28396.25097,Ruminant
25,28528.85931,Ruminant
26,28653.74665,Ruminant
27,28771.60774,Ruminant
28,28883.05328,Ruminant
29,28988.62259,Ruminant
30,29088.79403,Ruminant
31,29183.9936,Ruminant
32,29274.60208,Ruminant
33,29360.96108,Ruminant
34,29443.37804,Ruminant
35,29522.13054,Ruminant
36,29597.46988,Ruminant
37,29669.62425,Ruminant
38,29738.80137,Ruminant
39,29805.19075,Ruminant
40,29868.96576,Ruminant
41,29930.28527,Ruminant
42,29989.29522,Ruminant
43,30046.12992,Ruminant
44,30100.9132,Ruminant
45,30153.75943,Ruminant
46,30204.77443,Ruminant
47,30254.05627,Ruminant
48,30301.69596,Ruminant
49,30347.7781,Ruminant
50,30392.38144,Ruminant
51,30435.57938,Ruminant
52,30477.44042,Ruminant
53,30518.02858,Ruminant
54,30557.40375,Ruminant
55,30595.62204,Ruminant
56,30632.73607,Ruminant
57,30668.79522,Ruminant
58,30703.84592,Ruminant
59,30737.93184,Ruminant
60,30771.09411,Ruminant
61,30803.37151,Ruminant
62,30834.80061,Ruminant
63,30865.41595,Ruminant
64,30895.2502,Ruminant
65,30924.33425,Ruminant
66,30952.69736,Ruminant
67,30980.36725,Ruminant
68,31007.37023,Ruminant
69,31033.73125,Ruminant
70,31059.47403,Ruminant
71,31084.62111,Ruminant
72,31109.19396,Ruminant
73,31133.21299,Ruminant
74,31156.69766,Ruminant
75,31179.66654,Ruminant
76,31202.13732,Ruminant
77,31224.12692,Ruminant
78,31245.65148,Ruminant
79,31266.72645,Ruminant
80,31287.3666,Ruminant
81,31307.58608,Ruminant
82,31327.39843,Ruminant
83,31346.81662,Ruminant
84,31365.85312,Ruminant
85,31384.51987,Ruminant
86,31402.82833,Ruminant
87,31420.78952,Ruminant
88,31438.41402,Ruminant
89,31455.71202,Ruminant
90,31472.69331,Ruminant
91,31489.36732,Ruminant
92,31505.74311,Ruminant
93,31521.82943,Ruminant
94,31537.63471,Ruminant
95,31553.16707,Ruminant
96,31568.43434,Ruminant
97,31583.4441,Ruminant
98,31598.20364,Ruminant
99,31612.72,Ruminant
100,31627,Ruminant
